PSOE;PP;Cs;PODEMOS;VOX;AHORA REPÚBLICAS;JUNTS UE;CEUS;PACMA;RECORTES CERO;VOLT;PFAC;PCPE/PCPC;ANDALUCISTAS;EXISTE;PCTE;PIRATAS/REBELDES;IZQPESP;CREE EN EUROPA;EXTREMEÑOS;FE DE LAS JONS;PH;SUMAR;SE ACABÓ LA FIESTA;FO;IE;SAE;ESCAÑOS EN BLANCO;PMR;PREPAL;F;J.U.E.X.;GLG;CRT;Comunidad;Provincia
74861;72856;1319;8394;17238;48762;272;8241;1435;128;172;744;176;63;616;202;231;542;199;28;75;139;10017;7972;1268;709;209;548;70;47;112;35;58;83;"Comunidad Foral de Navarra";"Navarra"
33912;66714;294;1537;5661;15490;17;28;548;35;78;130;73;12;64;48;76;82;34;13;43;31;1480;2368;279;91;65;65;13;26;33;44;210;19;"Galicia";"Ourense"
23743;32799;547;1360;7785;103;11;22;288;20;76;127;38;10;226;69;44;158;40;7;75;23;1892;2987;276;90;52;81;7;45;33;9;18;16;"Castilla y León";"Palencia"
113224;154670;1019;8586;16282;68457;193;118;2036;152;264;556;217;44;147;193;184;311;142;28;110;104;10182;8864;1001;438;165;501;92;46;55;38;604;64;"Galicia";"Pontevedra"
39838;72179;1235;3072;14732;192;202;51;530;26;163;196;56;15;226;106;65;289;78;29;103;46;3332;5323;441;115;124;95;72;474;41;32;25;25;"Castilla y León";"Salamanca"
97655;94677;1385;11529;36698;887;338;45933;4593;226;477;616;237;155;181;211;212;570;166;33;119;133;11184;19589;988;658;106;397;126;74;117;51;112;106;"Canarias";"Santa Cruz de Tenerife"
19470;30871;650;1707;7111;150;7;26;274;21;74;87;23;13;187;54;32;162;40;15;76;28;2317;2971;302;86;116;57;13;29;26;7;11;21;"Castilla y León";"Segovia"
249485;250866;5838;25275;69622;738;183;192;6219;255;1060;991;490;7711;547;797;352;1604;423;105;410;280;43230;45640;2309;951;416;762;90;103;277;149;107;216;"Andalucía";"Sevilla"
10732;15735;198;733;3527;67;7;9;120;12;30;34;22;6;3252;42;24;52;15;8;17;4;770;1159;113;52;22;32;10;13;19;5;4;9;"Castilla y León";"Soria"
68481;35016;1185;7117;18716;39896;42031;222;2703;99;295;441;236;246;190;283;600;174;78;27;112;72;6749;7987;862;487;171;258;281;47;63;137;75;45;"Cataluña";"Tarragona"
15476;20064;236;986;6075;141;29;16;212;22;51;51;32;3;5336;58;44;97;13;2;84;9;1645;2520;232;62;68;69;11;6;34;4;10;20;"Aragón";"Teruel"
83607;108982;1446;5786;38481;257;19;74;1423;67;276;274;155;60;236;151;110;302;97;51;266;74;7964;12965;1045;235;197;182;52;32;64;69;45;52;"Castilla - La Mancha";"Toledo"
343893;375900;8509;36704;124219;4919;1476;450;8852;698;1405;2051;834;334;1625;624;492;1486;629;104;519;395;97260;63090;4450;1663;584;1120;828;173;393;136;189;229;"Comunitat Valenciana";"Valencia / València"
74495;104528;2461;6479;27508;409;170;87;1271;81;275;313;115;22;600;249;141;1011;128;29;233;88;8808;11072;1162;285;172;323;44;143;141;17;46;46;"Castilla y León";"Valladolid"
22102;34198;360;1324;7409;93;6;18;239;27;73;65;73;10;38;46;37;166;26;7;50;18;1366;2394;199;55;325;43;13;470;128;5;20;11;"Castilla y León";"Zamora"
114505;141084;3687;12381;44334;1045;394;147;2270;314;427;582;427;84;153;399;252;1084;246;35;289;132;20705;19961;2158;779;198;895;114;48;126;40;43;262;"Aragón";"Zaragoza"
5261293;5963074;121031;571902;1678158;856830;443275;281064;134425;7588;21521;28778;12037;24163;31309;15176;14442;32717;9180;3502;9643;6396;811545;800763;66242;27407;9253;20586;7017;6343;5777;5616;5604;5423;"";"Total"
